pt_name,pt_code,soc_name,soc_code
dermal cyst,10012426.0,Skin and subcutaneous tissue disorders,10040785.0
dermatitis,10012431.0,Skin and subcutaneous tissue disorders,10040785.0
dermatitis acneiform,10012432.0,Skin and subcutaneous tissue disorders,10040785.0
dermatitis allergic,10012434.0,Skin and subcutaneous tissue disorders,10040785.0
dermatitis bullous,10012441.0,Skin and subcutaneous tissue disorders,10040785.0
dermatitis contact,10012442.0,Skin and subcutaneous tissue disorders,10040785.0
dermatitis diaper,10012444.0,Skin and subcutaneous tissue disorders,10040785.0
dermatitis exfoliative,10012455.0,Skin and subcutaneous tissue disorders,10040785.0
dermatitis exfoliative generalised,10012456.0,Skin and subcutaneous tissue disorders,10040785.0
dermatomyositis,10012503.0,Skin and subcutaneous tissue disorders,10040785.0
dermatosis,10048768.0,Skin and subcutaneous tissue disorders,10040785.0
desmoid tumour,10059352.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
detachment of retinal pigment epithelium,10052501.0,Eye disorders,10015919.0
device breakage,10012575.0,Product issues,10077536.0
device failure,10056871.0,Product issues,10077536.0
device issue,10069868.0,Product issues,10077536.0
device physical property issue,10069880.0,Product issues,10077536.0
device related infection,10064687.0,Infections and infestations,10021881.0
device related sepsis,10069802.0,Infections and infestations,10021881.0
diabetes mellitus,10012601.0,Metabolism and nutrition disorders,10027433.0
diabetes mellitus inadequate control,10012607.0,Metabolism and nutrition disorders,10027433.0
diabetic coma,10012650.0,Nervous system disorders,10029205.0
diabetic foot,10060734.0,Skin and subcutaneous tissue disorders,10040785.0
diabetic ketoacidosis,10012671.0,Metabolism and nutrition disorders,10027433.0
diabetic nephropathy,10061835.0,Renal and urinary disorders,10038359.0
diabetic neuropathy,10012680.0,Nervous system disorders,10029205.0
diabetic retinopathy,10012689.0,Eye disorders,10015919.0
diaphragmalgia,10052749.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
diaphragmatic disorder,10061106.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
diaphragmatic paralysis,10012725.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
diarrhoea,10012735.0,Gastrointestinal disorders,10017947.0
diarrhoea haemorrhagic,10012741.0,Gastrointestinal disorders,10017947.0
diarrhoea infectious,10012742.0,Infections and infestations,10021881.0
diastolic dysfunction,10052337.0,Cardiac disorders,10007541.0
diet failure,10075213.0,General disorders and administration site conditions,10018065.0
differential white blood cell count abnormal,10012785.0,Investigations,10022891.0
diffuse alopecia,10073736.0,Skin and subcutaneous tissue disorders,10040785.0
,,,
diplegia,10013033.0,Nervous system disorders,10029205.0
diplopia,10013036.0,Eye disorders,10015919.0
disability,10013050.0,Social circumstances,10041244.0
discharge,10080907.0,General disorders and administration site conditions,10018065.0
discoloured vomit,10079120.0,Gastrointestinal disorders,10017947.0
discomfort,10013082.0,General disorders and administration site conditions,10018065.0
discouragement,10084257.0,Psychiatric disorders,10037175.0
disease complication,10067671.0,General disorders and administration site conditions,10018065.0
disease progression,10061818.0,General disorders and administration site conditions,10018065.0
disease recurrence,10061819.0,General disorders and administration site conditions,10018065.0
disease susceptibility,10074870.0,General disorders and administration site conditions,10018065.0
disorientation,10013395.0,Psychiatric disorders,10037175.0
disseminated intravascular coagulation,10013442.0,Blood and lymphatic system disorders,10005329.0
disseminated tuberculosis,10013453.0,Infections and infestations,10021881.0
distractibility,10013486.0,Psychiatric disorders,10037175.0
disturbance in attention,10013496.0,Nervous system disorders,10029205.0
diverticulitis,10013538.0,Infections and infestations,10021881.0
diverticulum,10013554.0,Gastrointestinal disorders,10017947.0
diverticulum intestinal,10013559.0,Gastrointestinal disorders,10017947.0
dizziness,10013573.0,Nervous system disorders,10029205.0
dizziness postural,10013578.0,Nervous system disorders,10029205.0
drain site complication,10079626.0,"Injury, poisoning and procedural complications",10022117.0
dreamy state,10013634.0,Nervous system disorders,10029205.0
drooling,10013642.0,Nervous system disorders,10029205.0
drowning,10013647.0,General disorders and administration site conditions,10018065.0
drug dependence,10013663.0,Psychiatric disorders,10037175.0
,,,
,,,
drug effect less than expected,10083365.0,General disorders and administration site conditions,10018065.0
drug eruption,10013687.0,Skin and subcutaneous tissue disorders,10040785.0
drug hypersensitivity,10013700.0,Immune system disorders,10021428.0
drug ineffective,10013709.0,General disorders and administration site conditions,10018065.0
drug interaction,10013710.0,General disorders and administration site conditions,10018065.0
drug intolerance,10061822.0,General disorders and administration site conditions,10018065.0
drug level abnormal,10082169.0,Investigations,10022891.0
drug level decreased,10013718.0,Investigations,10022891.0
drug level increased,10013722.0,Investigations,10022891.0
drug metabolite level,10084792.0,Investigations,10022891.0
drug reaction with eosinophilia and systemic symptoms,10073508.0,Skin and subcutaneous tissue disorders,10040785.0
drug resistance,10059866.0,General disorders and administration site conditions,10018065.0
drug tolerance,10052804.0,General disorders and administration site conditions,10018065.0
drug tolerance decreased,10052805.0,General disorders and administration site conditions,10018065.0
drug withdrawal syndrome,10013754.0,General disorders and administration site conditions,10018065.0
drug-induced liver injury,10072268.0,Hepatobiliary disorders,10019805.0
dry eye,10013774.0,Eye disorders,10015919.0
dry mouth,10013781.0,Gastrointestinal disorders,10017947.0
dry skin,10013786.0,Skin and subcutaneous tissue disorders,10040785.0
dry throat,10013789.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
duodenal perforation,10013832.0,Gastrointestinal disorders,10017947.0
duodenal stenosis,10050094.0,Gastrointestinal disorders,10017947.0
duodenal ulcer,10013836.0,Gastrointestinal disorders,10017947.0
duodenitis,10013864.0,Gastrointestinal disorders,10017947.0
dust allergy,10077439.0,Immune system disorders,10021428.0
dysarthria,10013887.0,Nervous system disorders,10029205.0
dysbiosis,10082129.0,Gastrointestinal disorders,10017947.0
dyschezia,10051244.0,Gastrointestinal disorders,10017947.0
dysentery,10051402.0,Infections and infestations,10021881.0
dysgeusia,10013911.0,Nervous system disorders,10029205.0
dysgraphia,10058319.0,Nervous system disorders,10029205.0
dyskinesia,10013916.0,Nervous system disorders,10029205.0
dyslipidaemia,10058108.0,Metabolism and nutrition disorders,10027433.0
dysmenorrhoea,10013935.0,Reproductive system and breast disorders,10038604.0
dysmetria,10013936.0,Nervous system disorders,10029205.0
dysmorphism,10066054.0,"Congenital, familial and genetic disorders",10010331.0
dyspepsia,10013946.0,Gastrointestinal disorders,10017947.0
dysphagia,10013950.0,Gastrointestinal disorders,10017947.0
dysphemia,10054964.0,Psychiatric disorders,10037175.0
dysphonia,10013952.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
dyspnoea,10013968.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
dyspnoea at rest,10013969.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
dyspnoea exertional,10013971.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
dysstasia,10050256.0,Nervous system disorders,10029205.0
dysuria,10013990.0,Renal and urinary disorders,10038359.0
ear congestion,10052136.0,Ear and labyrinth disorders,10013993.0
ear discomfort,10052137.0,Ear and labyrinth disorders,10013993.0
ear disorder,10014004.0,Ear and labyrinth disorders,10013993.0
ear haemorrhage,10014009.0,Ear and labyrinth disorders,10013993.0
ear infection,10014011.0,Infections and infestations,10021881.0
,,,
ear injury,10057446.0,"Injury, poisoning and procedural complications",10022117.0
ear pain,10014020.0,Ear and labyrinth disorders,10013993.0
ear swelling,10014025.0,Ear and labyrinth disorders,10013993.0
eastern cooperative oncology group performance status worsened,10067962.0,Investigations,10022891.0
eating disorder,10014062.0,Psychiatric disorders,10037175.0
eating disorder symptom,10061832.0,Metabolism and nutrition disorders,10027433.0
ebola disease,10014071.0,Infections and infestations,10021881.0
ecchymosis,10014080.0,Skin and subcutaneous tissue disorders,10040785.0
ecg signs of myocardial infarction,10075299.0,Investigations,10022891.0
eczema,10014184.0,Skin and subcutaneous tissue disorders,10040785.0
effusion,10063045.0,General disorders and administration site conditions,10018065.0
ejection fraction,10050527.0,Investigations,10022891.0
ejection fraction decreased,10050528.0,Investigations,10022891.0
elbow deformity,10061833.0,Musculoskeletal and connective tissue disorders,10028395.0
electric shock sensation,10014358.0,Nervous system disorders,10029205.0
electrocardiogram,10014362.0,Investigations,10022891.0
electrocardiogram abnormal,10014363.0,Investigations,10022891.0
electrocardiogram change,10061116.0,Investigations,10022891.0
electrocardiogram low voltage,10062311.0,Investigations,10022891.0
electrocardiogram normal,10014373.0,Investigations,10022891.0
electrocardiogram p wave abnormal,10050384.0,Investigations,10022891.0
electrocardiogram pr shortened,10014374.0,Investigations,10022891.0
electrocardiogram q wave abnormal,10051177.0,Investigations,10022891.0
electrocardiogram q waves,10014375.0,Investigations,10022891.0
electrocardiogram qrs complex abnormal,10014378.0,Investigations,10022891.0
electrocardiogram qrs complex prolonged,10014380.0,Investigations,10022891.0
electrocardiogram qrs complex shortened,10051158.0,Investigations,10022891.0
electrocardiogram qt interval,10014385.0,Investigations,10022891.0
electrocardiogram qt interval abnormal,10063748.0,Investigations,10022891.0
electrocardiogram qt prolonged,10014387.0,Investigations,10022891.0
electrocardiogram qt shortened,10014388.0,Investigations,10022891.0
electrocardiogram repolarisation abnormality,10052464.0,Investigations,10022891.0
electrocardiogram rr interval prolonged,10067652.0,Investigations,10022891.0
electrocardiogram st segment abnormal,10014390.0,Investigations,10022891.0
electrocardiogram st segment depression,10014391.0,Investigations,10022891.0
electrocardiogram st segment elevation,10014392.0,Investigations,10022891.0
electrocardiogram st-t segment abnormal,10052333.0,Investigations,10022891.0
electrocardiogram t wave abnormal,10050380.0,Investigations,10022891.0
electrocardiogram t wave amplitude decreased,10014394.0,Investigations,10022891.0
electrocardiogram t wave inversion,10014395.0,Investigations,10022891.0
electroencephalogram abnormal,10014408.0,Investigations,10022891.0
electrolyte depletion,10014415.0,Metabolism and nutrition disorders,10027433.0
electrolyte imbalance,10014418.0,Metabolism and nutrition disorders,10027433.0
elliptocytosis,10014489.0,Blood and lymphatic system disorders,10005329.0
embolic cerebral infarction,10060839.0,Nervous system disorders,10029205.0
embolic stroke,10014498.0,Nervous system disorders,10029205.0
embolism,10061169.0,Vascular disorders,10047065.0
embolism arterial,10014513.0,Vascular disorders,10047065.0
emergency care,10066400.0,Surgical and medical procedures,10042613.0
emotional disorder,10014551.0,Psychiatric disorders,10037175.0
emotional distress,10049119.0,Psychiatric disorders,10037175.0
emphysema,10014561.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
empyema,10014568.0,Infections and infestations,10021881.0
encephalitis,10014581.0,Infections and infestations,10021881.0
encephalopathy,10014625.0,Nervous system disorders,10029205.0
end stage renal disease,10077512.0,Renal and urinary disorders,10038359.0
endocardial disease,10061120.0,Cardiac disorders,10007541.0
endocarditis,10014665.0,Infections and infestations,10021881.0
endocrine disorder,10014695.0,Endocrine disorders,10014698.0
endometrial adenocarcinoma,10014720.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
endometrial atrophy,10051909.0,Reproductive system and breast disorders,10038604.0
endometrial cancer,10014733.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
endometrial cancer metastatic,10014734.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
endometrial hyperplasia,10014755.0,Reproductive system and breast disorders,10038604.0
endometrial thickening,10056432.0,Reproductive system and breast disorders,10038604.0
endometritis,10014791.0,Infections and infestations,10021881.0
energy increased,10048779.0,General disorders and administration site conditions,10018065.0
enteritis infectious,10058839.0,Infections and infestations,10021881.0
enterobacter pneumonia,10054218.0,Infections and infestations,10021881.0
enterococcal infection,10061124.0,Infections and infestations,10021881.0
enterocolitis,10014893.0,Gastrointestinal disorders,10017947.0
enterocolitis infectious,10058838.0,Infections and infestations,10021881.0
enterovesical fistula,10062570.0,Gastrointestinal disorders,10017947.0
enuresis,10014928.0,Psychiatric disorders,10037175.0
enzyme activity increased,10072021.0,Investigations,10022891.0
enzyme level abnormal,10075119.0,Investigations,10022891.0
enzyme level increased,10072234.0,Investigations,10022891.0
eosinopenia,10014940.0,Blood and lymphatic system disorders,10005329.0
eosinophil count abnormal,10061125.0,Investigations,10022891.0
eosinophil count decreased,10014943.0,Investigations,10022891.0
eosinophil count increased,10014945.0,Investigations,10022891.0
eosinophil percentage decreased,10052221.0,Investigations,10022891.0
eosinophilia,10014950.0,Blood and lymphatic system disorders,10005329.0
eosinophilic oesophagitis,10064212.0,Gastrointestinal disorders,10017947.0
ephelides,10014970.0,Skin and subcutaneous tissue disorders,10040785.0
epidermal necrosis,10059284.0,Skin and subcutaneous tissue disorders,10040785.0
epidermolysis,10053177.0,Skin and subcutaneous tissue disorders,10040785.0
epidermolysis bullosa,10014989.0,"Congenital, familial and genetic disorders",10010331.0
epigastric discomfort,10053155.0,Gastrointestinal disorders,10017947.0
,,,
epilepsy,10015037.0,Nervous system disorders,10029205.0
epistaxis,10015090.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
epstein-barr virus test positive,10064545.0,Investigations,10022891.0
erectile dysfunction,10061461.0,Reproductive system and breast disorders,10038604.0
erosive oesophagitis,10063655.0,Gastrointestinal disorders,10017947.0
eructation,10015137.0,Gastrointestinal disorders,10017947.0
erysipelas,10015145.0,Infections and infestations,10021881.0
erythema,10015150.0,Skin and subcutaneous tissue disorders,10040785.0
erythema migrans,10062488.0,Infections and infestations,10021881.0
erythema multiforme,10015218.0,Skin and subcutaneous tissue disorders,10040785.0
erythroblast count,10058506.0,Investigations,10022891.0
erythromelalgia,10015284.0,Vascular disorders,10047065.0
erythropenia,10015287.0,Blood and lymphatic system disorders,10005329.0
eschar,10051814.0,"Injury, poisoning and procedural complications",10022117.0
escherichia bacteraemia,10054258.0,Infections and infestations,10021881.0
escherichia infection,10061126.0,Infections and infestations,10021881.0
escherichia urinary tract infection,10052238.0,Infections and infestations,10021881.0
excessive granulation tissue,10063560.0,Skin and subcutaneous tissue disorders,10040785.0
exercise tolerance decreased,10051301.0,General disorders and administration site conditions,10018065.0
exophthalmos,10015683.0,Eye disorders,10015919.0
exostosis,10015688.0,Musculoskeletal and connective tissue disorders,10028395.0
exostosis of jaw,10015690.0,Musculoskeletal and connective tissue disorders,10028395.0
expired product administered,10074902.0,"Injury, poisoning and procedural complications",10022117.0
exposed bone in jaw,10071014.0,Musculoskeletal and connective tissue disorders,10028395.0
exposure to extreme temperature,10063601.0,"Injury, poisoning and procedural complications",10022117.0
exposure to toxic agent,10053487.0,"Injury, poisoning and procedural complications",10022117.0
extra dose administered,10064366.0,"Injury, poisoning and procedural complications",10022117.0
extradural abscess,10061846.0,Infections and infestations,10021881.0
extradural neoplasm,10058955.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
extraocular muscle disorder,10053635.0,Eye disorders,10015919.0
extrasystoles,10015856.0,Cardiac disorders,10007541.0
extravasation,10015866.0,General disorders and administration site conditions,10018065.0
extremity necrosis,10059385.0,Vascular disorders,10047065.0
eye allergy,10015907.0,Eye disorders,10015919.0
eye colour change,10072289.0,Eye disorders,10015919.0
eye discharge,10015915.0,Eye disorders,10015919.0
eye disorder,10015916.0,Eye disorders,10015919.0
eye haematoma,10079891.0,Eye disorders,10015919.0
eye haemorrhage,10015926.0,Eye disorders,10015919.0
eye infection,10015929.0,Infections and infestations,10021881.0
eye infection bacterial,10015930.0,Infections and infestations,10021881.0
eye inflammation,10015943.0,Eye disorders,10015919.0
eye injury,10061128.0,"Injury, poisoning and procedural complications",10022117.0
eye irritation,10015946.0,Eye disorders,10015919.0
eye movement disorder,10061129.0,Eye disorders,10015919.0
eye oedema,10052139.0,Eye disorders,10015919.0
eye pain,10015958.0,Eye disorders,10015919.0
eye pruritus,10052140.0,Eye disorders,10015919.0
eye swelling,10015967.0,Eye disorders,10015919.0
eye ulcer,10073423.0,Eye disorders,10015919.0
eyelash changes,10079646.0,Eye disorders,10015919.0
eyelid disorder,10061130.0,Eye disorders,10015919.0
eyelid infection,10015988.0,Infections and infestations,10021881.0
eyelid margin crusting,10052132.0,Eye disorders,10015919.0
eyelid oedema,10015993.0,Eye disorders,10015919.0
eyelid ptosis,10015995.0,Eye disorders,10015919.0
eyelid rash,10074620.0,Eye disorders,10015919.0
eyelids pruritus,10051627.0,Eye disorders,10015919.0
face injury,10050392.0,"Injury, poisoning and procedural complications",10022117.0
face oedema,10016029.0,General disorders and administration site conditions,10018065.0
facet joint syndrome,10054813.0,Musculoskeletal and connective tissue disorders,10028395.0
facial asymmetry,10068737.0,Musculoskeletal and connective tissue disorders,10028395.0
facial bones fracture,10016042.0,"Injury, poisoning and procedural complications",10022117.0
facial discomfort,10083537.0,General disorders and administration site conditions,10018065.0
facial nerve disorder,10061457.0,Nervous system disorders,10029205.0
facial pain,10016059.0,General disorders and administration site conditions,10018065.0
facial paralysis,10016062.0,Nervous system disorders,10029205.0
facial paresis,10051267.0,Nervous system disorders,10029205.0
faecal calprotectin increased,10072482.0,Investigations,10022891.0
faecal vomiting,10064670.0,Gastrointestinal disorders,10017947.0
faecaloma,10056325.0,Gastrointestinal disorders,10017947.0
faeces discoloured,10016100.0,Gastrointestinal disorders,10017947.0
faeces hard,10016101.0,Gastrointestinal disorders,10017947.0
faeces pale,10016102.0,Gastrointestinal disorders,10017947.0
faeces soft,10074859.0,Gastrointestinal disorders,10017947.0
failure to thrive,10016165.0,Metabolism and nutrition disorders,10027433.0
fall,10016173.0,"Injury, poisoning and procedural complications",10022117.0
fallopian tube cancer,10016180.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
fallopian tube disorder,10052094.0,Reproductive system and breast disorders,10038604.0
false positive investigation result,10070748.0,Investigations,10022891.0
fasciitis,10016228.0,Musculoskeletal and connective tissue disorders,10028395.0
fat necrosis,10061857.0,General disorders and administration site conditions,10018065.0
fat tissue increased,10016251.0,General disorders and administration site conditions,10018065.0
fatigue,10016256.0,General disorders and administration site conditions,10018065.0
fear,10016275.0,Psychiatric disorders,10037175.0
fear of disease,10016278.0,Psychiatric disorders,10037175.0
fear of eating,10050366.0,Psychiatric disorders,10037175.0
fear of falling,10048744.0,Psychiatric disorders,10037175.0
fear of weight gain,10016280.0,Psychiatric disorders,10037175.0
fear-related avoidance of activities,10080136.0,Psychiatric disorders,10037175.0
febrile bone marrow aplasia,10053213.0,Blood and lymphatic system disorders,10005329.0
febrile infection,10051998.0,Infections and infestations,10021881.0
febrile neutropenia,10016288.0,Blood and lymphatic system disorders,10005329.0
feeding disorder,10061148.0,Metabolism and nutrition disorders,10027433.0
feeling abnormal,10016322.0,General disorders and administration site conditions,10018065.0
feeling cold,10016326.0,General disorders and administration site conditions,10018065.0
feeling drunk,10016330.0,General disorders and administration site conditions,10018065.0
feeling hot,10016334.0,General disorders and administration site conditions,10018065.0
feeling jittery,10016338.0,General disorders and administration site conditions,10018065.0
feeling of body temperature change,10061458.0,General disorders and administration site conditions,10018065.0
feeling of despair,10016344.0,Psychiatric disorders,10037175.0
feelings of worthlessness,10016374.0,Psychiatric disorders,10037175.0
female genital tract fistula,10061149.0,Reproductive system and breast disorders,10038604.0
femoral hernia incarcerated,10074987.0,Gastrointestinal disorders,10017947.0
femoral neck fracture,10016450.0,"Injury, poisoning and procedural complications",10022117.0
femur fracture,10016454.0,"Injury, poisoning and procedural complications",10022117.0
fibrin d dimer increased,10016581.0,Investigations,10022891.0
fibromyalgia,10048439.0,Musculoskeletal and connective tissue disorders,10028395.0
fibrosis,10016642.0,General disorders and administration site conditions,10018065.0
fibula fracture,10016667.0,"Injury, poisoning and procedural complications",10022117.0
fine motor skill dysfunction,10076288.0,Nervous system disorders,10029205.0
finger deformity,10061156.0,Musculoskeletal and connective tissue disorders,10028395.0
fingerprint loss,10069686.0,Skin and subcutaneous tissue disorders,10040785.0
fistula,10016717.0,Musculoskeletal and connective tissue disorders,10028395.0
flank pain,10016750.0,Musculoskeletal and connective tissue disorders,10028395.0
flatulence,10016766.0,Gastrointestinal disorders,10017947.0
fluid imbalance,10051283.0,Metabolism and nutrition disorders,10027433.0
fluid intake reduced,10056291.0,Metabolism and nutrition disorders,10027433.0
fluid overload,10016803.0,Metabolism and nutrition disorders,10027433.0
fluid retention,10016807.0,Metabolism and nutrition disorders,10027433.0
flushing,10016825.0,Vascular disorders,10047065.0
foaming at mouth,10062654.0,General disorders and administration site conditions,10018065.0
foetor hepaticus,10052554.0,Hepatobiliary disorders,10019805.0
follicular lymphoma,10085128.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
folliculitis,10016936.0,Infections and infestations,10021881.0
food allergy,10016946.0,Immune system disorders,10021428.0
food aversion,10049238.0,Metabolism and nutrition disorders,10027433.0
food craving,10056465.0,Metabolism and nutrition disorders,10027433.0
food interaction,10016948.0,General disorders and administration site conditions,10018065.0
food intolerance,10061958.0,Metabolism and nutrition disorders,10027433.0
food poisoning,10016952.0,Gastrointestinal disorders,10017947.0
food refusal,10080283.0,Metabolism and nutrition disorders,10027433.0
foot deformity,10061159.0,Musculoskeletal and connective tissue disorders,10028395.0
foot fracture,10016970.0,"Injury, poisoning and procedural complications",10022117.0
forearm fracture,10016997.0,"Injury, poisoning and procedural complications",10022117.0
foreign body,10070245.0,"Injury, poisoning and procedural complications",10022117.0
foreign body in throat,10083433.0,"Injury, poisoning and procedural complications",10022117.0
formication,10017062.0,Nervous system disorders,10029205.0
fracture,10017076.0,"Injury, poisoning and procedural complications",10022117.0
fracture displacement,10053206.0,"Injury, poisoning and procedural complications",10022117.0
fracture pain,10072132.0,Musculoskeletal and connective tissue disorders,10028395.0
fractured sacrum,10017308.0,"Injury, poisoning and procedural complications",10022117.0
frequent bowel movements,10017367.0,Gastrointestinal disorders,10017947.0
friedreich's ataxia,10017374.0,"Congenital, familial and genetic disorders",10010331.0
frostbite,10017382.0,"Injury, poisoning and procedural complications",10022117.0
frustration tolerance decreased,10077753.0,Psychiatric disorders,10037175.0
full blood count abnormal,10017412.0,Investigations,10022891.0
full blood count decreased,10017413.0,Investigations,10022891.0
full blood count increased,10052239.0,Investigations,10022891.0
functional gastrointestinal disorder,10071275.0,Gastrointestinal disorders,10017947.0
,,,
fungal infection,10017533.0,Infections and infestations,10021881.0
fungal oesophagitis,10049656.0,Infections and infestations,10021881.0
fungal sepsis,10058872.0,Infections and infestations,10021881.0
fungal skin infection,10017543.0,Infections and infestations,10021881.0
fungating wound,10068834.0,Skin and subcutaneous tissue disorders,10040785.0
furuncle,10017553.0,Infections and infestations,10021881.0
gait disturbance,10017577.0,General disorders and administration site conditions,10018065.0
gait inability,10017581.0,General disorders and administration site conditions,10018065.0
gallbladder disorder,10017626.0,Hepatobiliary disorders,10019805.0
gallbladder empyema,10051068.0,Infections and infestations,10021881.0
gallbladder enlargement,10062693.0,Hepatobiliary disorders,10019805.0
gallbladder hypofunction,10080936.0,Hepatobiliary disorders,10019805.0
gallbladder oedema,10017637.0,Hepatobiliary disorders,10019805.0
gallbladder rupture,10081151.0,Hepatobiliary disorders,10019805.0
gamma-glutamyltransferase,10017687.0,Investigations,10022891.0
gamma-glutamyltransferase abnormal,10017688.0,Investigations,10022891.0
gamma-glutamyltransferase decreased,10017690.0,Investigations,10022891.0
gamma-glutamyltransferase increased,10017693.0,Investigations,10022891.0
gangrene,10017711.0,Infections and infestations,10021881.0
gastric cancer,10017758.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
gastric disorder,10056819.0,Gastrointestinal disorders,10017947.0
gastric fistula,10065713.0,Gastrointestinal disorders,10017947.0
gastric haemorrhage,10017788.0,Gastrointestinal disorders,10017947.0
gastric infection,10056663.0,Infections and infestations,10021881.0
gastric neoplasm,10061968.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
gastric perforation,10017815.0,Gastrointestinal disorders,10017947.0
gastric ph decreased,10060041.0,Investigations,10022891.0
gastric polyps,10017817.0,Gastrointestinal disorders,10017947.0
gastric ulcer,10017822.0,Gastrointestinal disorders,10017947.0
gastritis,10017853.0,Gastrointestinal disorders,10017947.0
gastritis erosive,10017865.0,Gastrointestinal disorders,10017947.0
gastritis fungal,10061972.0,Infections and infestations,10021881.0
gastritis haemorrhagic,10017866.0,Gastrointestinal disorders,10017947.0
gastroenteritis,10017888.0,Infections and infestations,10021881.0
gastroenteritis escherichia coli,10017903.0,Infections and infestations,10021881.0
gastroenteritis viral,10017918.0,Infections and infestations,10021881.0
gastrointestinal bacterial infection,10068306.0,Infections and infestations,10021881.0
gastrointestinal carcinoma,10017940.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
gastrointestinal disorder,10017944.0,Gastrointestinal disorders,10017947.0
gastrointestinal haemorrhage,10017955.0,Gastrointestinal disorders,10017947.0
gastrointestinal infection,10017964.0,Infections and infestations,10021881.0
gastrointestinal inflammation,10064147.0,Gastrointestinal disorders,10017947.0
gastrointestinal injury,10061172.0,"Injury, poisoning and procedural complications",10022117.0
gastrointestinal motility disorder,10061173.0,Gastrointestinal disorders,10017947.0
gastrointestinal neoplasm,10061174.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
gastrointestinal pain,10017999.0,Gastrointestinal disorders,10017947.0
gastrointestinal sounds abnormal,10067715.0,Gastrointestinal disorders,10017947.0
gastrointestinal stoma complication,10065718.0,"Injury, poisoning and procedural complications",10022117.0
gastrointestinal stromal tumour,10051066.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
gastrointestinal toxicity,10059024.0,Gastrointestinal disorders,10017947.0
gastrointestinal ulcer,10061459.0,Gastrointestinal disorders,10017947.0
gastrointestinal ulcer haemorrhage,10056743.0,Gastrointestinal disorders,10017947.0
gastrointestinal wall thickening,10075724.0,Gastrointestinal disorders,10017947.0
gastrooesophageal reflux disease,10017885.0,Gastrointestinal disorders,10017947.0
gene mutation,10064571.0,"Congenital, familial and genetic disorders",10010331.0
gene mutation identification test positive,10063478.0,Investigations,10022891.0
general physical condition abnormal,10058911.0,Investigations,10022891.0
,,,
general physical health deterioration,10049438.0,General disorders and administration site conditions,10018065.0
,,,
generalised oedema,10018092.0,General disorders and administration site conditions,10018065.0
generalised tonic-clonic seizure,10018100.0,Nervous system disorders,10029205.0
genital blister,10074995.0,Reproductive system and breast disorders,10038604.0
genital contusion,10073355.0,"Injury, poisoning and procedural complications",10022117.0
genital erythema,10054816.0,Reproductive system and breast disorders,10038604.0
genital herpes,10018150.0,Infections and infestations,10021881.0
genital injury,10063630.0,"Injury, poisoning and procedural complications",10022117.0
genital lesion,10061978.0,Reproductive system and breast disorders,10038604.0
genital pain,10061979.0,Reproductive system and breast disorders,10038604.0
giant cell arteritis,10018250.0,Vascular disorders,10047065.0
gilbert's syndrome,10018267.0,"Congenital, familial and genetic disorders",10010331.0
gingival bleeding,10018276.0,Gastrointestinal disorders,10017947.0
gingival blister,10049304.0,Gastrointestinal disorders,10017947.0
gingival discolouration,10018278.0,Gastrointestinal disorders,10017947.0
gingival disorder,10018280.0,Gastrointestinal disorders,10017947.0
gingival erythema,10067419.0,Gastrointestinal disorders,10017947.0
gingival pain,10018286.0,Gastrointestinal disorders,10017947.0
gingival recession,10018290.0,Gastrointestinal disorders,10017947.0
gingival swelling,10018291.0,Gastrointestinal disorders,10017947.0
gingival ulceration,10049398.0,Gastrointestinal disorders,10017947.0
gingivitis,10018292.0,Infections and infestations,10021881.0
glare,10052128.0,Eye disorders,10015919.0
glaucoma,10018304.0,Eye disorders,10015919.0
gliosis,10018341.0,Nervous system disorders,10029205.0
globulin abnormal,10065125.0,Investigations,10022891.0
globulins decreased,10058001.0,Investigations,10022891.0
globulins increased,10018350.0,Investigations,10022891.0
glomerular filtration rate,10018355.0,Investigations,10022891.0
glomerular filtration rate abnormal,10018356.0,Investigations,10022891.0
glomerular filtration rate decreased,10018358.0,Investigations,10022891.0
